,RNA.Enterocytes.BEST4
AL627309.1,0.0
AP006222.2,0.163225306
RP4-669L17.10,0.0
RP11-206L10.3,0.0
RP11-206L10.2,0.0
RP11-206L10.9,0.0
FAM87B,0.0
LINC00115,0.010401411
FAM41C,0.0
RP11-54O7.3,0.0
SAMD11,0.0
NOC2L,0.213502335
KLHL17,0.0
PLEKHN1,0.0
RP11-54O7.17,0.081732096
HES4,1.283803517
ISG15,2.041222221
AGRN,0.273513752
RNF223,0.071948082
C1orf159,0.057978592
RP11-465B22.5,0.0
RP11-465B22.8,0.686014537
TTLL10,0.0
TNFRSF18,0.0
TNFRSF4,0.0
SDF4,0.664527965
B3GALT6,0.029370301
FAM132A,0.118117967
RP5-902P8.12,0.0
UBE2J2,0.653115875
RP5-902P8.10,0.0
SCNN1D,0.0
ACAP3,0.031572875
PUSL1,0.117869212
CPSF3L,0.151788718
GLTPD1,0.372080187
TAS1R3,0.0
DVL1,0.135201216
MXRA8,0.0
AURKAIP1,3.416133212
CCNL2,0.529405254
RP4-758J18.2,0.026860925
MRPL20,1.569719741
RP4-758J18.13,0.0
ANKRD65,0.0
VWA1,0.093251825
ATAD3C,0.0
ATAD3B,0.145126233
ATAD3A,0.105180122
SSU72,1.325710381
AL645728.1,0.046773133
C1orf233,0.016726436
RP11-345P4.9,0.156859198
MIB2,0.203544276
MMP23B,0.111607143
CDK11B,0.390167776
RP11-345P4.10,0.0
SLC35E2B,0.297382111
RP11-345P4.7,0.0
CDK11A,0.177752034
SLC35E2,0.008469523
NADK,0.756005317
GNB1,1.635731537
RP1-140A9.1,0.0
CALML6,0.0
TMEM52,0.0
RP11-547D24.3,0.0
PRKCZ,0.527223972
RP5-892K4.1,0.0
RP11-181G12.2,0.0
C1orf86,0.144193483
AL590822.2,0.0
AL590822.1,0.0
RP11-181G12.4,0.0
SKI,0.037484886
MORN1,0.017243282
RER1,1.358571601
PEX10,0.163404011
PLCH2,0.0
PANK4,0.0
HES5,0.050415423
RP3-395M20.12,0.043706515
TNFRSF14,0.682793715
RP3-395M20.7,0.0
RP3-395M20.9,0.0
FAM213B,0.31360469
MMEL1,0.230594722
TTC34,0.0
LINC00982,0.0
PRDM16,0.0
RP11-22L13.1,0.0
ARHGEF16,0.648078617
RP11-168F9.2,0.050415423
MEGF6,0.0
RP11-46F15.2,0.0
TPRG1L,0.595131678
WRAP73,0.240734127
TP73,0.0
TP73-AS1,0.0
SMIM1,0.0
LRRC47,0.152729483
RP1-286D6.5,0.0
CEP104,0.115201005
DFFB,0.0
C1orf174,0.17921565
LINC01134,0.04114549
AJAP1,0.0
NPHP4,0.0
KCNAB2,0.0
RPL22,8.967915874
RP1-120G22.11,0.0
RNF207,0.037736988
ICMT,0.18058428
LINC00337,0.0
GPR153,0.0
ACOT7,0.397121799
RP1-202O8.3,0.0
HES2,0.075945956
ESPN,0.380366026
TNFRSF25,0.27600936
PLEKHG5,0.0
NOL9,0.085377058
ZBTB48,0.013068752
KLHL21,0.0
PHF13,0.0
THAP3,0.05254589
DNAJC11,0.292001388
RP11-312B8.1,0.0
CAMTA1,1.205793888
RP11-338N10.3,0.0
VAMP3,0.746700005
PER3,0.31872204
RP3-467L1.4,0.0
UTS2,0.0
TNFRSF9,0.0
PARK7,2.299260979
ERRFI1,0.296886922
RP11-431K24.1,0.0
SLC45A1,0.0
RERE,0.428205257
ENO1,1.890230948
ENO1-AS1,0.0
SLC2A5,0.429074681
GPR157,0.0
RP3-510D11.1,0.0
RP3-510D11.2,0.0
H6PD,0.0
SPSB1,0.136446402
SLC25A33,0.106758099
TMEM201,0.064142036
PIK3CD,0.0
RP11-558F24.4,0.0
CLSTN1,0.565571207
CTNNBIP1,0.096248513
LZIC,0.505839017
NMNAT1,0.133562706
RBP7,0.0
UBE4B,0.106757854
KIF1B,0.426265153
PGD,0.346958117
RP4-736L20.3,0.0
APITD1,0.0
APITD1-CORT,0.0
DFFA,0.103768996
PEX14,0.082891111
CASZ1,0.240090078
RP4-734G22.3,0.0
C1orf127,0.0
TARDBP,0.584684635
MASP2,0.0
RP4-635E18.8,0.093689102
SRM,0.216158864
EXOSC10,0.296688629
RP4-635E18.7,0.0
RP4-635E18.6,0.077286408
MTOR,0.094895034
UBIAD1,0.042235437
PTCHD2,0.0
FBXO2,0.0
FBXO44,0.0
FBXO6,0.012518462
MAD2L2,0.008282534
DRAXIN,0.0
AGTRAP,0.057928609
C1orf167,0.0
MTHFR,0.155612155
CLCN6,0.095697443
NPPA-AS1,0.009340487
KIAA2013,0.814343142
PLOD1,0.0
MFN2,0.161131026
MIIP,0.1370158
TNFRSF8,0.0
TNFRSF1B,0.008282534
VPS13D,0.093467132
DHRS3,0.582589838
PDPN,0.0
PRDM2,0.325842695
KAZN,0.045811039
TMEM51,0.124466225
FHAD1,0.0
RP3-467K16.2,0.0
RP3-467K16.4,0.0
EFHD2,1.801981315
CTRC,0.0
CELA2A,0.0
CASP9,0.067133757
DNAJC16,0.14335751
RP4-680D5.8,0.0
AGMAT,0.128944505
RP4-680D5.2,0.0
DDI2,0.270251182
PLEKHM2,0.306931814
RP11-288I21.1,0.0
SLC25A34,0.190452705
TMEM82,0.181652362
FBLIM1,1.279400034
RP11-169K16.9,0.05583847
SPEN,0.430739108
ZBTB17,0.0
HSPB7,0.0
EPHA2,0.139038726
RP11-276H7.2,0.0
RP11-276H7.3,0.0
ARHGEF19,0.0
C1orf134,0.0
RSG1,0.0
FBXO42,0.026974536
SZRD1,0.443075293
SPATA21,0.0
NECAP2,0.204866185
RP4-798A10.2,0.016726436
RP4-798A10.7,0.0
NBPF1,0.102093923
CROCCP2,0.087116687
CROCC,0.0
RP11-108M9.4,0.125920653
RP11-108M9.6,0.0
MFAP2,0.0
ATP13A2,0.423228164
SDHB,1.37191075
PADI2,0.553160951
PADI3,0.0
PADI4,0.0
RCC2,0.467436837
ARHGEF10L,0.214686249
IGSF21,0.0
ALDH4A1,0.053177912
IFFO2,0.0
UBR4,0.454437348
RP1-43E13.2,0.053177912
EMC1,0.122982718
MRTO4,0.183199062
AKR7A3,1.016915202
AKR7A2,0.754091979
PQLC2,0.062553218
CAPZB,2.222001727
MINOS1-NBL1,0.0
MINOS1,2.876272409
NBL1,2.485036793
TMCO4,0.352881446
RNF186,0.41101519
RP11-91K11.2,0.0
OTUD3,0.244287012
PLA2G2A,5.871130946
PLA2G2D,0.0
UBXN10-AS1,0.0
UBXN10,0.032526672
CAMK2N1,5.622498568
MUL1,0.050253292
CDA,1.080110529
PINK1,0.524805871
PINK1-AS,0.0
DDOST,0.593140661
KIF17,0.0
SH2D5,0.0
HP1BP3,0.760171409
RP5-930J4.4,0.0
EIF4G3,0.641506062
ECE1,1.041266274
RP5-1071N3.1,0.0
NBPF3,0.0
ALPL,0.0
RAP1GAP,0.225410677
USP48,0.339875087
LDLRAD2,0.0
HSPG2,0.780131525
CELA3B,0.0
CELA3A,0.0
RP1-224A6.3,0.0
LINC00339,0.0
CDC42,5.139918992
RP1-224A6.9,0.0
WNT4,0.0
ZBTB40,0.067338362
C1QA,0.005987909
C1QC,0.0
C1QB,0.0
EPHB2,0.101537605
RP1-74M1.3,0.0
KDM1A,0.117217262
LUZP1,0.461887495
HTR1D,0.0
RP5-1057J7.6,0.143319898
HNRNPR,0.889154393
ZNF436,0.247423384
C1orf213,0.005565747
RP5-1057J7.7,0.0
TCEA3,1.823361216
ASAP3,0.122745549
E2F2,0.241923243
RP1-150O5.3,0.0
ID3,3.775116329
MDS2,0.0
RPL11,24.15144405
TCEB3,0.453386067
RP5-886K2.3,0.009563594
PITHD1,0.094210875
LYPLA2,0.990368661
GALE,0.852347678
HMGCL,0.332895615
FUCA1,1.574661452
CNR2,0.0
PNRC2,0.09014397
SRSF10,0.287222174
MYOM3,0.0
IL22RA1,0.117736937
IFNLR1,0.005987909
RP11-10N16.2,0.0
GRHL3,0.0
STPG1,0.147388236
NIPAL3,0.515742614
RCAN3,0.216684174
RP4-594I10.3,0.029921486
NCMAP,0.0
SRRM1,1.664247043
CLIC4,0.408167721
RUNX3,0.019139489
SYF2,1.377359358
C1orf63,2.802943942
RHD,0.0
TMEM50A,1.520445661
RHCE,0.0
TMEM57,0.093193171
LDLRAP1,0.084027415
RP11-70P17.1,0.0
MAN1C1,0.0
RP1-187B23.1,0.0
SEPN1,0.066771854
RP1-317E23.3,0.0
MTFR1L,0.298854467
AL020996.1,0.0
AUNIP,0.0
PAQR7,0.0
STMN1,0.863049282
PAFAH2,0.19270805
EXTL1,0.0
SLC30A2,0.0
PDIK1L,0.149307215
FAM110D,0.0
ZNF593,0.999651308
CNKSR1,0.098073218
CATSPER4,0.0
CEP85,0.0
SH3BGRL3,10.57873884
UBXN11,0.05316822
CD52,0.016565068
AIM1L,0.202893063
ZNF683,0.0
LIN28A,0.0
DHDDS,0.33210514
HMGN2,2.921802117
RPS6KA1,0.424050243
RP5-968P14.2,0.0
ARID1A,0.845051997
PIGV,0.009563594
ZDHHC18,0.176058954
SFN,2.187995431
GPN2,0.077283888
GPATCH3,0.017243282
NUDC,0.557542041
NR0B2,0.0
C1orf172,0.208085246
TRNP1,0.0
FAM46B,0.0
SLC9A1,0.476625665
WDTC1,0.286735386
TMEM222,0.071302474
SYTL1,0.0
MAP3K6,0.035900853
FCN3,0.0
CD164L2,0.022171769
GPR3,0.0
WASF2,1.547506407
AHDC1,0.008469523
FGR,0.0
RP11-288L9.1,0.0
IFI6,0.532416721
RP11-288L9.4,0.0
FAM76A,0.206395971
STX12,0.675953227
PPP1R8,0.271904194
THEMIS2,0.019139489
RPA2,0.024622408
SMPDL3B,0.748354764
XKR8,0.022171769
EYA3,0.275298611
PTAFR,0.263267686
DNAJC8,1.151517564
ATPIF1,7.754748303
RP5-1092A3.4,0.116159738
SESN2,0.31884523
MED18,0.189058298
PHACTR4,0.342046667
RCC1,0.0
TRNAU1AP,0.277316217
SNHG12,0.214925692
TAF12,0.179147239
RAB42,0.0
RP11-442N24--B.1,0.0
RNU11,0.175755921
GMEB1,0.122533309
YTHDF2,0.413906239
RP1-212P9.3,0.0
EPB41,0.112767213
TMEM200B,0.0
SRSF4,0.743631158
MECR,0.005565747
PTPRU,0.0
RP11-111I12.1,0.0
MATN1-AS1,0.0
LAPTM5,0.064142036
RP1-65J11.1,0.0
SDC3,0.0
PUM1,0.355492867
SNRNP40,0.279374236
ZCCHC17,0.13758017
FABP3,0.108385021
SERINC2,2.56352927
TINAGL1,0.184622106
PEF1,0.137648243
COL16A1,0.0
BAI2,0.0
SPOCD1,0.0
RP11-84A19.4,0.0
PTP4A2,1.939686164
KHDRBS1,1.046326756
RP11-277A4.4,0.0
TMEM39B,0.084838661
KPNA6,0.164136141
TXLNA,0.088698375
CCDC28B,0.0
RP4-622L5.7,0.0
IQCC,0.0
DCDC2B,0.0
TMEM234,0.045609035
EIF3I,0.951457374
FAM167B,0.0
LCK,0.0
HDAC1,1.260971644
MARCKSL1,1.936473001
TSSK3,0.0
FAM229A,0.0
BSDC1,0.225918505
ZBTB8B,0.0
ZBTB8A,0.055114638
ZBTB8OS,0.684685086
RBBP4,0.383801365
SYNC,0.046114025
KIAA1522,0.419773838
YARS,0.068276167
S100PBP,0.098008468
FNDC5,0.0
HPCA,0.0
TMEM54,11.29035863
RNF19B,0.34922897
FKSG48,0.0
AK2,1.06150686
ADC,0.0
TRIM62,0.0
ZNF362,0.106226004
PHC2,0.078866144
ZSCAN20,0.0
SMIM12,0.394674479
GJB4,0.0
GJB3,0.0
GJA4,0.0
DLGAP3,0.0
RP11-244H3.4,0.0
ZMYM6NB,0.008469523
ZMYM6,0.136256159
ZMYM1,0.013068752
SFPQ,1.465831127
ZMYM4,0.109984286
ZMYM4-AS1,0.0
KIAA0319L,0.412246175
NCDN,0.0
RP4-728D4.2,0.0
TFAP2E,0.005987909
PSMB2,1.195057283
C1orf216,0.0
CLSPN,0.043935199
AGO4,0.071264021
AGO1,0.05254589
AGO3,0.315001508
ADPRHL2,0.031471302
COL8A2,0.0
TRAPPC3,0.815364617
MAP7D1,0.094850188
THRAP3,0.757780657
SH3D21,0.090646436
EVA1B,0.0
RP11-268J15.5,0.0
STK40,0.23276811
LSM10,0.164826302
OSCP1,0.010401411
MRPS15,0.632117004
CSF3R,0.0
LINC01137,0.024622408
ZC3H12A,0.16264623
MEAF6,0.225929413
SNIP1,0.142503718
DNALI1,0.011442485
GNL2,0.046135071
C1orf109,0.011131494
CDCA8,0.041644456
EPHA10,0.09271
MANEAL,0.016094147
YRDC,0.045608145
C1orf122,0.865260975
MTF1,0.27455645
INPP5B,0.13091747
SF3A3,0.02328261
FHL3,0.0
UTP11L,0.332920451
POU3F1,0.0
RRAGC,0.568610925
RP5-864K19.4,0.0
MYCBP,0.541949998
RHBDL2,0.110008254
AKIRIN1,0.414055807
NDUFS5,3.708005175
MACF1,0.507945064
KIAA0754,0.029921486
BMP8A,0.0
RP11-69E11.4,0.165343915
PABPC4,0.261589154
HPCAL4,0.0
PPIE,0.112080681
BMP8B,0.136348583
OXCT2,0.0
TRIT1,0.0
MYCL,0.01403527
RP1-118J21.5,0.0
MFSD2A,0.046206512
CAP1,3.639324441
PPT1,0.078221951
RLF,0.474024291
TMCO2,0.0
RP1-39G22.7,0.049290645
ZMPSTE24,0.279173467
COL9A2,0.091894863
SMAP2,0.180242763
ZFP69B,0.0
ZFP69,0.0
RP11-656D10.3,0.0
EXO5,0.0
ZNF684,0.03047294
RIMS3,0.0
NFYC-AS1,0.0
NFYC,0.079389449
KCNQ4,0.0
CITED4,0.0
CTPS1,0.0
SLFNL1,0.0
SCMH1,0.037736988
FOXO6,0.0
EDN2,0.0
HIVEP3,0.0
GUCA2B,81.02010423
GUCA2A,96.71630701
FOXJ3,0.193751626
RIMKLA,0.094701558
ZMYND12,0.026860925
PPCS,0.617126831
CCDC30,0.0
PPIH,0.158997418
YBX1,5.554689109
CLDN19,0.0
LEPRE1,0.0
C1orf50,0.107704771
CCDC23,0.177167745
ERMAP,0.051225309
RP11-342M1.3,0.0
ZNF691,0.032002048
SLC2A1,0.217429893
SLC2A1-AS1,0.0
EBNA1BP2,0.2507269
WDR65,0.0
TMEM125,0.376181981
C1orf210,0.273526793
TIE1,0.0
RP1-92O14.3,0.010401411
CDC20,0.027828735
ELOVL1,0.845987656
MED8,0.121775894
SZT2,0.010401411
HYI,0.203232045
HYI-AS1,0.0
PTPRF,2.340648426
KDM4A,0.262871869
KDM4A-AS1,0.0
ST3GAL3,0.0
ARTN,0.0
RP11-7O11.3,0.0
IPO13,0.0
DPH2,0.085922285
ATP6V0B,2.914145193
B4GALT2,0.1019737
CCDC24,0.213966938
SLC6A9,0.275271211
RP5-1198O20.4,0.0
KLF17,0.0
DMAP1,0.188175579
ERI3,0.368738235
RNF220,0.110813214
TMEM53,0.22234347
C1orf228,0.0
KIF2C,0.0
RPS8,31.99447888
BEST4,16.8155451
PLK3,0.457526898
TCTEX1D4,0.0
BTBD19,0.17902359
PTCH2,0.0
EIF2B3,0.0
HECTD3,0.504259053
UROD,0.401305548
ZSWIM5,0.0
HPDL,0.042928083
MUTYH,0.049602159
TOE1,0.313807161
TESK2,0.112733954
CCDC163P,0.0
MMACHC,0.0
PRDX1,4.502788919
AKR1A1,1.507347112
NASP,0.432388692
CCDC17,0.093689102
GPBP1L1,0.480253611
TMEM69,0.145210133
IPP,0.083994087
MAST2,0.753178017
PIK3R3,0.079387204
RP4-533D7.4,0.0
TSPAN1,10.0580293
POMGNT1,0.374889818
LURAP1,0.0
RAD54L,0.0
LRRC41,0.381565968
UQCRH,5.622595449
NSUN4,0.041760695
FAAH,0.10232185
LINC00505,0.0
MKNK1,0.283713138
MOB3C,0.0
ATPAF1,0.151711231
EFCAB14,0.500946322
TEX38,0.0
CYP4B1,0.0
CYP4X1,0.0
CYP4A22-AS1,0.0
LINC00853,0.0
PDZK1IP1,1.049245612
TAL1,0.0
STIL,0.119875189
CMPK1,1.334465652
FOXE3,0.0
FOXD2-AS1,0.010401411
FOXD2,0.148263769
TRABD2B,0.0
SLC5A9,0.0
SPATA6,0.051225309
AGBL4,0.0
BEND5,0.0
ELAVL4,0.0
DMRTA2,0.0
RP5-850O15.4,0.0
FAF1,0.096369832
CDKN2C,0.0
RP11-296A18.3,0.0
RNF11,0.467046371
TTC39A,0.332635394
RP11-275F13.1,0.0
