Gene;p_val;avg_log2FC;pct.1;pct.2;p_val_adj
SDR16C5;6.57222232770157e-19;5.33685856355434;0.5;0.005;1.53829435802183e-14
REG1A;1.43138779834206e-18;11.0471334809875;0.4;0;3.35030628079943e-14
KYNU;1.43138779834206e-18;7.88275907185254;0.4;0;3.35030628079943e-14
HLA-DPA1;1.43138779834206e-18;7.9729968506692;0.4;0;3.35030628079943e-14
ALYREF;1.43138779834206e-18;7.87945523809548;0.4;0;3.35030628079943e-14
UBE2S;1.43138779834206e-18;7.09659802015068;0.4;0;3.35030628079943e-14
SLC40A1;2.07937304844339e-16;6.18142858947039;0.5;0.01;4.86698055718661e-12
SPINK4;3.68197204786078e-16;4.79182429191385;0.6;0.021;8.61802377522295e-12
ELOVL6;8.62643188577641e-16;2.76312304499344;0.6;0.021;2.01910264718483e-11
TYMP;1.6345643583103e-15;4.1842351689421;0.8;0.052;3.82586133706108e-11
PI3;1.95809253123412e-15;7.27369403846083;0.7;0.042;4.58311137860658e-11
LCN2;2.1817242844267e-15;6.37536607952935;0.6;0.026;5.10654386012914e-11
TNIP3;7.0933800335928e-15;6.2344143228367;0.4;0.005;1.66027653066273e-10
MROH6;7.0933800335928e-15;5.96346861184353;0.4;0.005;1.66027653066273e-10
DUOX2;7.0933800335928e-15;6.8059442862865;0.4;0.005;1.66027653066273e-10
DUOXA2;7.0933800335928e-15;7.02672289940721;0.4;0.005;1.66027653066273e-10
ZBTB24;9.82798380902327e-15;2.26420694699123;0.4;0.005;2.30033789033999e-10
REG4;3.09509939070332e-14;7.94453234449926;0.3;0;7.24438963388019e-10
INTS7;3.09509939070332e-14;6.30836768483317;0.3;0;7.24438963388019e-10
REG3A;3.09509939070332e-14;5.94330197334018;0.3;0;7.24438963388019e-10
ZBTB11;3.09509939070332e-14;5.94330197334018;0.3;0;7.24438963388019e-10
CXCL1;3.09509939070332e-14;7.38712496437115;0.3;0;7.24438963388019e-10
GIMAP7;3.09509939070332e-14;6.60076304104078;0.3;0;7.24438963388019e-10
SLC6A14;3.09509939070332e-14;7.23626931377596;0.3;0;7.24438963388019e-10
RIN1;3.09509939070332e-14;6.62083950799287;0.3;0;7.24438963388019e-10
KRT7;3.09509939070332e-14;6.58727633382012;0.3;0;7.24438963388019e-10
NR2F2;3.09509939070332e-14;7.2527580644243;0.3;0;7.24438963388019e-10
ZNF593;2.18294263973006e-13;4.23893628091919;0.7;0.047;5.10939554255218e-09
S100P;4.5579243974824e-13;3.60147215679748;0.9;0.11;1.06682778447473e-08
RBM14;1.82970691554137e-12;7.18399498332231;0.4;0.01;4.28261200651613e-08
MUC5B;2.23261683947645e-12;3.7352352550096;0.5;0.021;5.22566297447857e-08
MUC1;2.39947032465605e-12;5.44897336588881;0.4;0.01;5.61620024188996e-08
RNF145;3.58119330872099e-12;2.02771482375955;0.6;0.037;8.38214105839236e-08
HLA-DRA;3.92896262433265e-12;3.47510999675786;0.6;0.037;9.196129918513e-08
TMOD3;3.92896262433265e-12;3.49476616660331;0.6;0.037;9.196129918513e-08
LRG1;3.16315567248225e-11;2.99074736464921;0.5;0.026;7.40368216701196e-07
TIMP1;4.27089512919812e-11;3.56018278509748;0.5;0.026;9.99645713940112e-07
TC2N;4.27089512919812e-11;2.77613010602721;0.5;0.026;9.99645713940112e-07
PRAC1;6.15132491050529e-11;2.48868914707521;0.6;0.042;1.43977910855287e-06
MSMO1;6.69319360509064e-11;2.03721820187436;0.6;0.042;1.56660889520752e-06
RPUSD1;7.3847508643734e-11;5.71178193105573;0.3;0.005;1.72847478731524e-06
FAM76A;8.6079475728943e-11;5.44104651262466;0.3;0.005;2.01477620891164e-06
TRMT1L;8.6079475728943e-11;5.62024638314345;0.3;0.005;2.01477620891164e-06
ME1;8.6079475728943e-11;6.4282911023008;0.3;0.005;2.01477620891164e-06
ZNF720;8.6079475728943e-11;5.96998520688274;0.3;0.005;2.01477620891164e-06
PIP5K1C;8.6079475728943e-11;5.62937893279157;0.3;0.005;2.01477620891164e-06
MPV17L2;8.6079475728943e-11;5.9061193676231;0.3;0.005;2.01477620891164e-06
SULT1B1;9.68852256577685e-11;2.13607097319407;0.7;0.063;2.26769559174573e-06
IL1RN;1.0028532586263e-10;5.06869164850992;0.3;0.005;2.34727833714071e-06
E2F2;1.16774820701159e-10;3.6446325612433;0.3;0.005;2.73323145333133e-06
WLS;1.16774820701159e-10;4.20841305239521;0.3;0.005;2.73323145333133e-06
HIPK1;1.16774820701159e-10;1.5703186986834;0.3;0.005;2.73323145333133e-06
TMEM41A;1.16774820701159e-10;4.68661324764195;0.3;0.005;2.73323145333133e-06
XRCC4;1.16774820701159e-10;3.51512716188429;0.3;0.005;2.73323145333133e-06
PRRC1;1.16774820701159e-10;2.89039894826315;0.3;0.005;2.73323145333133e-06
HLA-DPB1;1.16774820701159e-10;4.59910553894284;0.3;0.005;2.73323145333133e-06
FAM84B;1.16774820701159e-10;3.1454034952626;0.3;0.005;2.73323145333133e-06
FAM35A;1.16774820701159e-10;4.1575837038844;0.3;0.005;2.73323145333133e-06
SLC41A2;1.16774820701159e-10;4.39783580188306;0.3;0.005;2.73323145333133e-06
TCF12;1.16774820701159e-10;3.3358548270726;0.3;0.005;2.73323145333133e-06
CDC25B;1.16774820701159e-10;3.92068907601751;0.3;0.005;2.73323145333133e-06
DUS1L;1.23295534465151e-10;3.83385525103703;0.4;0.016;2.88585527969132e-06
FAM84A;1.47624454199062e-10;2.80034814080987;0.6;0.047;3.45529797498326e-06
DHFR;1.55273478544027e-10;4.06747793675873;0.4;0.016;3.63433103880149e-06
C8orf59;1.59949603182784e-10;4.43168065568661;0.6;0.047;3.74378041209624e-06
GNPNAT1;1.74170943162128e-10;3.81734646867338;0.4;0.016;4.07664509565278e-06
API5;1.95309384966237e-10;3.44524158680427;0.4;0.016;4.57141146451975e-06
C4BPB;2.18947264185957e-10;2.1849225106862;0.4;0.016;5.12467966553651e-06
RABL3;2.18947264185957e-10;3.15030225634082;0.4;0.016;5.12467966553651e-06
GARS;2.18947264185957e-10;2.86073594577499;0.4;0.016;5.12467966553651e-06
FAM58A;2.18947264185957e-10;1.78013130892953;0.4;0.016;5.12467966553651e-06
CTNNBIP1;2.45371969738479e-10;3.25073785751036;0.4;0.016;5.74317632369883e-06
KIAA0226L;2.45371969738479e-10;3.05798365522715;0.4;0.016;5.74317632369883e-06
IGLL5;3.02197065982761e-10;2.21472511314004;0.6;0.047;7.07322452639251e-06
SPINK1;4.2197063245833e-10;3.85990811153008;0.7;0.084;9.87664462331966e-06
RAB32;4.84002691507385e-10;1.62820959726127;0.6;0.047;1.13285669974219e-05
MTHFD2L;6.28377813841656e-10;2.69610434838043;0.5;0.031;1.47078111107778e-05
EPHB2;6.4171839580751e-10;5.60656784827654;0.2;0;1.50200607722706e-05
L1TD1;6.4171839580751e-10;6.36183129463342;0.2;0;1.50200607722706e-05
EPHX4;6.4171839580751e-10;5.63306298199514;0.2;0;1.50200607722706e-05
C1orf162;6.4171839580751e-10;5.60656784827654;0.2;0;1.50200607722706e-05
HIST2H2AC;6.4171839580751e-10;5.45337210048067;0.2;0;1.50200607722706e-05
S100A9;6.4171839580751e-10;6.05402877869639;0.2;0;1.50200607722706e-05
DENND4B;6.4171839580751e-10;5.69739867030623;0.2;0;1.50200607722706e-05
PVRL4;6.4171839580751e-10;5.60656784827654;0.2;0;1.50200607722706e-05
XDH;6.4171839580751e-10;6.07350595816965;0.2;0;1.50200607722706e-05
PRKD3;6.4171839580751e-10;6.12048652711167;0.2;0;1.50200607722706e-05
BCL11A;6.4171839580751e-10;5.45337210048067;0.2;0;1.50200607722706e-05
REG1B;6.4171839580751e-10;6.97697611492879;0.2;0;1.50200607722706e-05
BOK;6.4171839580751e-10;6.6711534693895;0.2;0;1.50200607722706e-05
CAPN7;6.4171839580751e-10;6.87485769091095;0.2;0;1.50200607722706e-05
CPOX;6.4171839580751e-10;6.56587561651755;0.2;0;1.50200607722706e-05
RNF168;6.4171839580751e-10;5.6720693111301;0.2;0;1.50200607722706e-05
RASGEF1B;6.4171839580751e-10;5.6720693111301;0.2;0;1.50200607722706e-05
MAD2L1;6.4171839580751e-10;6.69135007575379;0.2;0;1.50200607722706e-05
GZMA;6.4171839580751e-10;5.92197154110824;0.2;0;1.50200607722706e-05
CCDC69;6.4171839580751e-10;5.60656784827654;0.2;0;1.50200607722706e-05
ZFP62;6.4171839580751e-10;5.45337210048067;0.2;0;1.50200607722706e-05
HIST1H2AM;6.4171839580751e-10;5.45337210048067;0.2;0;1.50200607722706e-05
LTB;6.4171839580751e-10;6.5212524884265;0.2;0;1.50200607722706e-05
