;RNA.Enterocytes.BEST4
AL627309.1;NaN
RP4-669L17.10;NaN
RP11-206L10.3;NaN
RP11-206L10.2;NaN
RP11-206L10.9;NaN
FAM87B;NaN
FAM41C;NaN
RP11-54O7.3;NaN
SAMD11;NaN
KLHL17;NaN
PLEKHN1;NaN
RP11-465B22.5;NaN
TTLL10;NaN
TNFRSF18;NaN
TNFRSF4;NaN
RP5-902P8.12;NaN
RP5-902P8.10;NaN
SCNN1D;NaN
TAS1R3;NaN
MXRA8;NaN
RP4-758J18.13;NaN
ANKRD65;NaN
ATAD3C;NaN
RP11-345P4.10;NaN
RP11-345P4.7;NaN
RP1-140A9.1;NaN
CALML6;NaN
TMEM52;NaN
RP11-547D24.3;NaN
RP5-892K4.1;NaN
RP11-181G12.2;NaN
AL590822.2;NaN
AL590822.1;NaN
RP11-181G12.4;NaN
PLCH2;NaN
PANK4;NaN
RP3-395M20.7;NaN
RP3-395M20.9;NaN
TTC34;NaN
LINC00982;NaN
PRDM16;NaN
RP11-22L13.1;NaN
MEGF6;NaN
RP11-46F15.2;NaN
TP73;NaN
TP73-AS1;NaN
SMIM1;NaN
RP1-286D6.5;NaN
DFFB;NaN
AJAP1;NaN
NPHP4;NaN
KCNAB2;NaN
RP1-120G22.11;NaN
LINC00337;NaN
GPR153;NaN
RP1-202O8.3;NaN
PLEKHG5;NaN
KLHL21;NaN
PHF13;NaN
RP11-312B8.1;NaN
RP11-338N10.3;NaN
RP3-467L1.4;NaN
UTS2;NaN
TNFRSF9;NaN
RP11-431K24.1;NaN
SLC45A1;NaN
ENO1-AS1;NaN
GPR157;NaN
RP3-510D11.1;NaN
RP3-510D11.2;NaN
H6PD;NaN
PIK3CD;NaN
RP11-558F24.4;NaN
RBP7;NaN
RP4-736L20.3;NaN
APITD1;NaN
APITD1-CORT;NaN
RP4-734G22.3;NaN
C1orf127;NaN
MASP2;NaN
RP4-635E18.7;NaN
PTCHD2;NaN
FBXO2;NaN
FBXO44;NaN
DRAXIN;NaN
C1orf167;NaN
PLOD1;NaN
TNFRSF8;NaN
PDPN;NaN
FHAD1;NaN
RP3-467K16.2;NaN
RP3-467K16.4;NaN
CTRC;NaN
CELA2A;NaN
RP4-680D5.8;NaN
RP4-680D5.2;NaN
RP11-288I21.1;NaN
ZBTB17;NaN
HSPB7;NaN
RP11-276H7.2;NaN
RP11-276H7.3;NaN
ARHGEF19;NaN
C1orf134;NaN
RSG1;NaN
SPATA21;NaN
RP4-798A10.7;NaN
CROCC;NaN
RP11-108M9.6;NaN
MFAP2;NaN
PADI3;NaN
PADI4;NaN
IGSF21;NaN
IFFO2;NaN
MINOS1-NBL1;NaN
RP11-91K11.2;NaN
PLA2G2D;NaN
UBXN10-AS1;NaN
PINK1-AS;NaN
KIF17;NaN
SH2D5;NaN
RP5-930J4.4;NaN
RP5-1071N3.1;NaN
NBPF3;NaN
ALPL;NaN
LDLRAD2;NaN
CELA3B;NaN
CELA3A;NaN
RP1-224A6.3;NaN
LINC00339;NaN
RP1-224A6.9;NaN
WNT4;NaN
C1QC;NaN
C1QB;NaN
RP1-74M1.3;NaN
HTR1D;NaN
RP5-1057J7.7;NaN
RP1-150O5.3;NaN
MDS2;NaN
CNR2;NaN
MYOM3;NaN
RP11-10N16.2;NaN
GRHL3;NaN
