source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	curation_effort	references	sources	n_sources	n_primary_sources	n_references	references_stripped
Q04206	P25445	RELA	FAS	True	True	False	True	True	False	10	CollecTRI:10022897;CollecTRI:10871852;CollecTRI:11290773;CollecTRI:11473033;CollecTRI:16317104;CollecTRI:16784892;CollecTRI:19628709;CollecTRI:22669972;CollecTRI:23604035;CollecTRI:9733827	CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA	6	2	10	10022897;10871852;11290773;11473033;16317104;16784892;19628709;22669972;23604035;9733827
COMPLEX:P05412	P01033	JUN	TIMP1	True	True	False	True	True	False	17	CollecTRI:10051488;CollecTRI:10388555;CollecTRI:10497161;CollecTRI:11337499;CollecTRI:12525489;CollecTRI:1420363;CollecTRI:15485866;CollecTRI:15777790;CollecTRI:15860571;CollecTRI:15987715;CollecTRI:17133482;CollecTRI:2159816;CollecTRI:24036113;CollecTRI:8557686;CollecTRI:8559663;CollecTRI:8601460;CollecTRI:9478976	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	6	1	17	10051488;10388555;10497161;11337499;12525489;1420363;15485866;15777790;15860571;15987715;17133482;2159816;24036113;8557686;8559663;8601460;9478976
COMPLEX:P17275	P01033	JUNB	TIMP1	True	True	False	True	True	False	17	CollecTRI:10051488;CollecTRI:10388555;CollecTRI:10497161;CollecTRI:11337499;CollecTRI:12525489;CollecTRI:1420363;CollecTRI:15485866;CollecTRI:15777790;CollecTRI:15860571;CollecTRI:15987715;CollecTRI:17133482;CollecTRI:2159816;CollecTRI:24036113;CollecTRI:8557686;CollecTRI:8559663;CollecTRI:8601460;CollecTRI:9478976	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	6	1	17	10051488;10388555;10497161;11337499;12525489;1420363;15485866;15777790;15860571;15987715;17133482;2159816;24036113;8557686;8559663;8601460;9478976
COMPLEX:P17535	P01033	JUND	TIMP1	True	True	False	True	True	False	17	CollecTRI:10051488;CollecTRI:10388555;CollecTRI:10497161;CollecTRI:11337499;CollecTRI:12525489;CollecTRI:1420363;CollecTRI:15485866;CollecTRI:15777790;CollecTRI:15860571;CollecTRI:15987715;CollecTRI:17133482;CollecTRI:2159816;CollecTRI:24036113;CollecTRI:8557686;CollecTRI:8559663;CollecTRI:8601460;CollecTRI:9478976	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	6	1	17	10051488;10388555;10497161;11337499;12525489;1420363;15485866;15777790;15860571;15987715;17133482;2159816;24036113;8557686;8559663;8601460;9478976
P14921	P01033	ETS1	TIMP1	True	True	True	True	True	False	2	CollecTRI:10051488;CollecTRI:8557686	CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA;TRRD_DoRothEA	9	2	2	10051488;8557686
P43268	P01033	ETV4	TIMP1	True	True	False	True	True	False	3	CollecTRI:10051488;CollecTRI:10692475;CollecTRI:1420363	CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA	6	2	3	10051488;10692475;1420363
P04637	P14635	TP53	CCNB1	True	False	True	True	False	True	15	CollecTRI:10051609;CollecTRI:11071927;CollecTRI:11162602;CollecTRI:11313928;CollecTRI:11522645;CollecTRI:11892838;CollecTRI:12379461;CollecTRI:12874009;CollecTRI:14627709;CollecTRI:15710382;CollecTRI:15737644;CollecTRI:17942917;CollecTRI:19470724;CollecTRI:20395210;DoRothEA:11892838	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA	8	2	14	10051609;11071927;11162602;11313928;11522645;11892838;12379461;12874009;14627709;15710382;15737644;17942917;19470724;20395210
P20226	P52655	TBP	GTF2A1	True	True	False	True	True	False	19	CollecTRI:10078202;CollecTRI:10523649;CollecTRI:10581267;CollecTRI:10617594;CollecTRI:10675336;CollecTRI:10985861;CollecTRI:16412700;CollecTRI:1644819;CollecTRI:18206971;CollecTRI:7823952;CollecTRI:7969171;CollecTRI:8051080;CollecTRI:8552077;CollecTRI:8626665;CollecTRI:8751448;CollecTRI:9003783;CollecTRI:9343426;CollecTRI:9566876;CollecTRI:9603936	CollecTRI;ExTRI_CollecTRI	2	1	19	10078202;10523649;10581267;10617594;10675336;10985861;16412700;1644819;18206971;7823952;7969171;8051080;8552077;8626665;8751448;9003783;9343426;9566876;9603936
P18146	P08047	EGR1	SP1	True	True	False	False	False	False	5	CollecTRI:11956220;CollecTRI:12637574;CollecTRI:18044710;CollecTRI:20204374;CollecTRI:20427719	CollecTRI;DoRothEA;ENCODE-proximal;ExTRI_CollecTRI;GEREDB_CollecTRI;PAZAR_DoRothEA	6	3	5	11956220;12637574;18044710;20204374;20427719
P39880	P19957	CUX1	PI3	True	True	False	True	True	False	3	CollecTRI:10229863;CollecTRI:10753867;CollecTRI:11689575	CollecTRI;ExTRI_CollecTRI	2	1	3	10229863;10753867;11689575
