TF_name	num_degs
COMPLEX:P05412	17
COMPLEX:P17275	17
COMPLEX:P17535	17
COMPLEX:P19838	31
COMPLEX:Q00653	31
COMPLEX:Q01201	31
COMPLEX:Q04206	31
COMPLEX:Q04864	31
O00287	4
O00470	1
O00482	3
O00716	3
O14503	2
O14593	4
O14867	3
O15105	4
O15119	1
O15516	1
O43474	5
O43524	5
O43593	1
O60381	1
O60675	1
O75081	1
O75376	2
O75444	1
O75461	1
O75469	3
O75593	1
O75626	1
O75925	1
O75928	1
O94916	1
O95238	4
O95365	1
P00519	1
P01100	9
P01106	34
P04150	12
P04637	35
P05412	23
P06400	4
P06733	1
P08047	51
P08235	3
P08651	2
P09086	1
P0DPQ6	3
P10242	7
P10244	6
P10588	1
P10827	2
P10828	2
P10914	5
P11473	4
P11474	2
P11831	3
P14316	1
P14859	6
P14921	13
P15036	3
P15336	5
P15408	1
P15884	3
P15923	6
P16220	19
P16989	2
P17096	5
P17535	1
P17544	1
P17676	17
P17861	2
P18146	17
P18846	3
P18847	3
P18848	2
P19419	3
P19532	1
P19793	1
P19838	23
P20226	8
P20823	7
P21675	1
P22415	5
P22670	2
P22736	2
P23246	1
P23511	3
P24468	1
P25208	3
P25490	13
P25791	1
P26358	7
P27540	3
P28347	1
P28698	2
P31269	1
P32519	6
P33076	3
P35222	13
P35398	3
P35638	3
P35680	1
P35869	4
P36402	2
P36956	4
P37231	8
P38398	4
P39880	6
P40337	2
P40424	1
P40763	25
P41134	4
P41182	7
P41212	1
P41235	7
P41970	2
P42224	10
P42226	1
P42229	9
P43268	3
P43354	1
P46531	2
P47902	1
P48436	3
P49711	5
P49715	8
P49716	6
P49910	1
P50539	1
P51532	2
P51692	4
P51858	1
P52747	1
P52926	1
P53539	1
P53567	11
P55317	3
P56270	1
P57682	1
P61244	2
P62380	2
P67809	6
P78347	3
P78545	1
P84022	8
P98177	1
Q00059	1
Q00577	2
Q00613	5
Q00653	5
Q00978	1
Q01130	3
Q01196	11
Q01201	1
Q01826	2
Q01831	1
Q01844	1
Q02078	4
Q02086	3
Q02363	2
Q02446	3
Q02447	22
Q02535	1
Q02556	3
Q03060	1
Q03164	4
Q03181	3
Q03701	1
Q03933	1
Q04206	28
Q04726	1
Q04864	7
Q05195	1
Q06330	1
Q06413	2
Q06546	3
Q06710	1
Q06945	1
Q07869	9
Q08050	7
Q08945	3
Q09472	1
Q12772	3
Q12778	8
Q12800	2
Q12824	1
Q12857	3
Q12968	1
Q12986	1
Q13118	2
Q13127	1
Q13133	3
Q13330	3
Q13469	1
Q13485	5
Q13547	5
Q13761	6
Q13887	5
Q13948	6
Q13951	1
Q13952	2
Q14186	4
Q14209	1
Q14469	3
Q14653	3
Q14814	1
Q14839	2
Q14865	1
Q14872	1
Q15233	1
Q15361	2
Q15561	1
Q15562	1
Q15596	1
Q15648	1
Q15723	1
Q15788	1
Q15796	5
Q15797	3
Q15853	4
Q15910	5
Q16236	14
Q16254	12
Q16665	9
Q5T0B9	2
Q66K89	1
Q6VUC0	1
Q6W2J9	1
Q7RTV0	1
Q86T24	1
Q8N2W9	1
Q8TF68	1
Q8WUI4	1
Q8WYK2	1
Q92664	2
Q92786	1
Q92794	1
Q92908	2
Q92993	1
Q96EB6	2
Q96ST3	3
Q99081	1
Q99583	1
Q99592	1
Q99607	3
Q99612	3
Q99626	4
Q99697	3
Q99717	2
Q99732	1
Q99814	2
Q99816	1
Q9BQA5	1
Q9BRR0	1
Q9BTC8	1
Q9BUP3	1
Q9BYH8	1
Q9BYM8	1
Q9C009	1
Q9H2X6	1
Q9H4Z2	1
Q9NP71	2
Q9NQB0	7
Q9NR48	1
Q9NRM2	1
Q9NS37	1
Q9NYF8	1
Q9NZC4	1
Q9UBB5	1
Q9UBK2	1
Q9UGL1	1
Q9UGP4	1
Q9UJU2	4
Q9UKN5	1
Q9UL36	1
Q9ULU4	1
Q9UMQ3	1
Q9UPG8	1
Q9UPW6	2
Q9Y2D1	2
Q9Y2D9	1
Q9Y2K7	1
Q9Y2N7	1
Q9Y468	1
Q9Y4A5	1
Q9Y5J3	2
Q9Y5Q3	3
Q9Y5W3	1
Q9Y603	1
Q9Y618	2
Q9Y6Q9	1
