Gene,avg_log2FC
SDR16C5,5.33685856355434
REG1A,11.0471334809875
KYNU,7.88275907185254
HLA-DPA1,7.9729968506692
ALYREF,7.87945523809548
UBE2S,7.09659802015068
SLC40A1,6.18142858947039
SPINK4,4.79182429191385
ELOVL6,2.76312304499344
TYMP,4.1842351689421
PI3,7.27369403846083
LCN2,6.37536607952935
TNIP3,6.2344143228367
MROH6,5.96346861184353
DUOX2,6.8059442862865
DUOXA2,7.02672289940721
ZBTB24,2.26420694699123
REG4,7.94453234449926
INTS7,6.30836768483317
REG3A,5.94330197334018
ZBTB11,5.94330197334018
CXCL1,7.38712496437115
GIMAP7,6.60076304104078
SLC6A14,7.23626931377596
RIN1,6.62083950799287
KRT7,6.58727633382012
NR2F2,7.2527580644243
ZNF593,4.23893628091919
S100P,3.60147215679748
RBM14,7.18399498332231
MUC5B,3.7352352550096
MUC1,5.44897336588881
RNF145,2.02771482375955
HLA-DRA,3.47510999675786
TMOD3,3.49476616660331
LRG1,2.99074736464921
TIMP1,3.56018278509748
TC2N,2.77613010602721
PRAC1,2.48868914707521
MSMO1,2.03721820187436
RPUSD1,5.71178193105573
FAM76A,5.44104651262466
TRMT1L,5.62024638314345
ME1,6.4282911023008
ZNF720,5.96998520688274
PIP5K1C,5.62937893279157
MPV17L2,5.9061193676231
SULT1B1,2.13607097319407
IL1RN,5.06869164850992
E2F2,3.6446325612433
WLS,4.20841305239521
HIPK1,1.5703186986834
TMEM41A,4.68661324764195
XRCC4,3.51512716188429
PRRC1,2.89039894826315
HLA-DPB1,4.59910553894284
FAM84B,3.1454034952626
FAM35A,4.1575837038844
SLC41A2,4.39783580188306
TCF12,3.3358548270726
CDC25B,3.92068907601751
DUS1L,3.83385525103703
FAM84A,2.80034814080987
DHFR,4.06747793675873
C8orf59,4.43168065568661
GNPNAT1,3.81734646867338
API5,3.44524158680427
C4BPB,2.1849225106862
RABL3,3.15030225634082
GARS,2.86073594577499
FAM58A,1.78013130892953
CTNNBIP1,3.25073785751036
KIAA0226L,3.05798365522715
IGLL5,2.21472511314004
SPINK1,3.85990811153008
RAB32,1.62820959726127
MTHFD2L,2.69610434838043
EPHB2,5.60656784827654
L1TD1,6.36183129463342
EPHX4,5.63306298199514
C1orf162,5.60656784827654
HIST2H2AC,5.45337210048067
S100A9,6.05402877869639
DENND4B,5.69739867030623
PVRL4,5.60656784827654
XDH,6.07350595816965
PRKD3,6.12048652711167
BCL11A,5.45337210048067
REG1B,6.97697611492879
BOK,6.6711534693895
CAPN7,6.87485769091095
CPOX,6.56587561651755
RNF168,5.6720693111301
RASGEF1B,5.6720693111301
MAD2L1,6.69135007575379
GZMA,5.92197154110824
CCDC69,5.60656784827654
ZFP62,5.45337210048067
HIST1H2AM,5.45337210048067
LTB,6.5212524884265
PM20D2,6.12048652711167
PRKAR2B,5.63306298199514
BRAF,5.60656784827654
XPO7,6.01569024737603
PLEKHA2,5.6720693111301
ANXA1,7.2229947137514
TGFBR1,6.43481198193974
PBX3,6.8435396794161
CCNY,6.6711534693895
VCL,5.60656784827654
IDE,6.12048652711167
PDCD11,6.16735139486359
CYB5R2,5.45337210048067
SAA2,5.60656784827654
HIPK3,9.04540499891106
RP11-727F15.9,5.45337210048067
RP11-783K16.5,6.29344579967651
KCNE3,6.93093210431292
TULP3,6.1016374899747
TMTC3,6.39656787531887
UNC119B,5.82779783787124
HNRNPA1L2,6.29344579967651
RBM26,9.01953698645474
VCPKMT,5.63306298199514
PYGL,5.69739867030623
NIPA1,6.30996165280021
EDC3,5.82336512240883
RP11-752G15.6,5.60656784827654
TTC23,5.60656784827654
FBXL19-AS1,5.82779783787124
C16orf58,6.21884220386811
PEMT,5.63306298199514
ETV4,6.30996165280021
ARL17A,6.26202575187953
PNPO,6.12048652711167
PRKCA,5.82779783787124
BIRC5,6.7039022075522
SERPINB8,6.07350595816965
DSN1,6.1016374899747
ZNF738,6.26202575187953
PLEKHF1,5.45337210048067
DMKN,5.45337210048067
CD79A,5.60656784827654
CABIN1,6.63875365070644
MORC2-AS1,7.1261929256807
RUNX1,5.60656784827654
AP006748.1,6.21884220386811
RP11-689K5.3,5.63306298199514
HIBCH,1.7295730467229
PLA2G2A,4.29463236723751
OLFM4,2.99888237665243
DGKZ,4.78677143484175
BACE2,3.62547323408742
DTD1,3.36793046083227
SPINK5,2.47371677407726
METAP2,2.21722770466901
DTYMK,3.25306663435093
HGD,3.93621869962165
PDZK1IP1,3.20690593114451
LYAR,3.7384404729102
MUC4,2.59053468363645
MAP7,2.90327671676525
SLC35A2,3.04669967102853
IFITM1,2.12581277806829
FAT1,2.35464223971082
BPTF,2.20096957696452
BOLA3,2.47584535108972
TUBA4A,3.68531838976681
DYNC1LI2,3.63967970843723
CXCL3,5.31741866807526
GCN1L1,6.8170751745308
USP22,5.28698648469002
IFITM3,3.00245933969895
TAF13,4.59910447816673
ABCE1,4.95538818971396
ASRGL1,4.97468900608883
CRLF3,6.80245573428409
GNA13,4.01335126947002
APIP,3.00907267135543
TSTA3,2.27347453972621
UBXN11,2.30776441048437
MCFD2,3.3980592104363
MECOM,3.96052021802595
TMX4,1.51462886883932
AGL,4.08810340180683
DPH5,1.51847534658275
SDCCAG8,4.01933578733593
HNRNPU-AS1,3.6059122121962
PRKAA1,2.35973456079798
DCTN4,3.84008785204626
LTV1,2.66674983140695
C1GALT1,3.4717497579276
ZC3HC1,2.37349456227379
CDKN3,3.25611613753882
TBC1D2B,3.38419842021753
SPAG9,2.39667006770655
GATA6,2.87226423662461
PMEPA1,3.64529559531554
TMSB4Y,3.67983969742837
IQGAP1,3.19397399115013
TFRC,3.17276306140591
EPRS,1.94951064386248
SRD5A3,4.05892336574421
PPP2CB,1.97356541770764
DDX24,2.12050841430949
CCND2,4.14600432356232
MRPL40,1.53627527665578
CAB39,1.76452105293339
XPNPEP1,4.01120890148302
CKLF,3.40943798144847
JOSD2,2.0529710095999
UHMK1,3.36615200598495
ELMOD3,2.85119250049132
SLC25A46,2.73772409107318
ACBD3,2.20018442453275
LIN7C,2.25720385821682
ARL2BP,3.0454839781346
HNRNPL,2.19144719422235
GNAQ,2.98957574886352
TIMM10,2.04648256692206
LYZ,2.43826295768412
SERPINA1,3.86114428273875
NDUFAF2,3.4593424832607
PSMB4,2.98383980022905
GRPEL1,3.16694019543443
TMEM14A,2.55667333143308
XRN2,1.56226581077283
AGR3,2.08967153167249
SET,1.83901633982384
BUB3,2.56168944311873
TATDN1,2.28610439046293
PFDN4,2.03364128304472
RAB14,1.97032434823926
MRPS33,1.75541312534945
IFITM2,2.75389684665549
CHMP4A,1.78654724466687
CDYL,4.90838474027968
ID4,2.35704410057645
MPDU1,1.51974814656678
NUDT2,4.23168576332015
BMPR2,2.5446554696353
FERMT1,4.02195607206757
MPZL1,3.40501342027084
GALNT7,2.45551935087351
SSR1,2.46108639213744
TXNRD1,2.40388009691866
HLA-DQB1,4.02296973329131
MARCH7,2.3292283017676
LETM1,2.17169859604398
TTC39A,3.07072038361816
CCBL2,2.12610031881277
PPP1R12B,1.56344929791287
USP39,3.56086473087122
PTTG1,2.8788354515128
TSPYL1,3.77957941613316
OGDH,3.92329225390758
CREM,3.35966165774154
DCUN1D5,3.6543703333438
EFCAB11,3.24403842674623
LMAN1,3.46403115142733
TXNL4A,2.43717642809084
IGJ,-1.65392407521301
NSUN4,1.92522269718435
LRPPRC,3.61921957547319
MED7,2.79312487581175
HIST1H2BH,3.52347118399594
PTPRK,2.35778082809965
CUL1,3.61079408422703
LDHB,2.19370850307135
TMEM222,2.3523463180074
ITLN1,1.88453562268083
DNAJC10,1.98068334651212
ZBTB38,1.53943448726741
SKIL,1.40312710867907
IBTK,2.89444407585067
HIF1A,1.02047280610088
COPS3,1.5543866265125
HIP1,5.29180480650004
MKLN1,7.50119508064359
GTF2A1,6.122572610002
TRMU,5.75417611738013
SPIRE2,2.9559906490479
SOD3,2.62834019488444
MTHFD2,4.6691446111392
STK39,5.38634476062208
KLHL18,5.00129359419788
RNF123,5.3304177720941
CXCL2,4.96511272561864
CCNB1,5.10932941055427
EPB41L2,5.03148429994268
TULP4,4.58242575742447
UBE2D4,4.64668991697337
UBN2,4.85546137691725
WDR60,5.39370362047525
TAZ,4.99410067640082
UBR5,5.67572562312402
FAS,5.9154706665875
ACY3,5.54983759762869
SYTL2,4.70904128354769
C11orf1,4.51582223009886
PTPN21,4.84633318333402
KLF13,5.09170947205202
FAM214A,5.20452974659876
LINS,6.49032559662506
SPATA33,5.2034508944292
NUFIP2,4.5583161633289
MSI2,4.87930537302906
DHX35,5.24282580261552
NCOA3,4.76851040405672
TMEM238,5.36011532389368
ZNF787,5.25837920295533
CTTN,2.07986754951268
ACAT2,2.38265750824884
PIM3,1.60406693291718
RPL26L1,1.77540932673652
TMEM167A,2.15275766743186
DNAJC16,3.73506021643998
LINC01137,4.47190744594345
PPT1,1.96926921525776
DENND2D,4.73888178479348
ANP32E,4.1600818869932
GATAD2B,3.03874478236607
RRM2,3.73724900236035
WDR92,4.51784879986048
UGGT1,3.98401331744484
NR4A2,4.36445604740292
TTC30B,3.98630709929199
NBEAL2,3.84663447988409
CPEB2,3.76531610679541
CFI,3.82098603070073
C5orf22,3.51736343163668
BDP1,3.17970912579931
POLK,4.434867394899
TMEM173,3.94500698830988
GM2A,4.48489450155407
FGFR4,1.74583138695788
LINC01011,3.76531610679541
NUP153,3.02714832786186
B3GAT2,0.914717584480807
KATNA1,3.97161685261297
FOXK1,1.06212505805004
ZNRF2,2.24498647019066
DBF4,3.82502051528998
CASD1,4.26818383298023
TRIM24,3.84121835363356
ZC3HAV1,3.7129314724392
CASP2,4.64353982069413
MTM1,2.72579722189591
GSR,4.50913374348111
ALDH1B1,4.28358791960377
FAM122A,3.49043419470221
HIATL1,3.55667381286009
USP6NL,4.63634690289706
BMI1,3.86612722023507
MKI67,4.00330924057383
PRKCDBP,3.29169652018207
SAA1,3.98545402074176
CD44,3.61205368168075
PGM2L1,2.91915615892227
YAP1,3.40015126099839
MPZL2,3.54814259718564
C12orf4,2.8806594500408
SP1,4.2878212081925
PAN3,3.5030423446334
PHF11,2.26312027898607
KLF12,3.3426500680067
STRN3,3.22775838353324
PPP1R36,3.65860985641832
SNHG10,4.48315115510119
PARN,4.35005464848052
FANCA,3.83620155058886
DHX40,4.52844051391083
ELAC1,4.45122255724877
MEX3C,3.42750862330836
JAG1,4.1749040980992
RALGAPA2,4.24986493132117
AURKA,3.70913140535165
LMNB2,3.04859629687417
PEX11G,4.67003495441272
