Gene,expression
AP006222.2,0.163225306
LINC00115,0.010401411
NOC2L,0.213502335
RP11-54O7.17,0.081732096
HES4,1.283803517
ISG15,2.041222221
AGRN,0.273513752
RNF223,0.071948082
C1orf159,0.057978592
RP11-465B22.8,0.686014537
SDF4,0.664527965
B3GALT6,0.029370301
FAM132A,0.118117967
UBE2J2,0.653115875
ACAP3,0.031572875
PUSL1,0.117869212
CPSF3L,0.151788718
GLTPD1,0.372080187
DVL1,0.135201216
AURKAIP1,3.416133212
CCNL2,0.529405254
RP4-758J18.2,0.026860925
MRPL20,1.569719741
VWA1,0.093251825
ATAD3B,0.145126233
ATAD3A,0.105180122
SSU72,1.325710381
AL645728.1,0.046773133
C1orf233,0.016726436
RP11-345P4.9,0.156859198
MIB2,0.203544276
MMP23B,0.111607143
CDK11B,0.390167776
SLC35E2B,0.297382111
CDK11A,0.177752034
SLC35E2,0.008469523
NADK,0.756005317
GNB1,1.635731537
PRKCZ,0.527223972
C1orf86,0.144193483
SKI,0.037484886
MORN1,0.017243282
RER1,1.358571601
PEX10,0.163404011
HES5,0.050415423
RP3-395M20.12,0.043706515
TNFRSF14,0.682793715
FAM213B,0.31360469
MMEL1,0.230594722
ARHGEF16,0.648078617
RP11-168F9.2,0.050415423
TPRG1L,0.595131678
WRAP73,0.240734127
LRRC47,0.152729483
CEP104,0.115201005
C1orf174,0.17921565
LINC01134,0.04114549
RPL22,8.967915874
RNF207,0.037736988
ICMT,0.18058428
ACOT7,0.397121799
HES2,0.075945956
ESPN,0.380366026
TNFRSF25,0.27600936
NOL9,0.085377058
ZBTB48,0.013068752
THAP3,0.05254589
DNAJC11,0.292001388
CAMTA1,1.205793888
VAMP3,0.746700005
PER3,0.31872204
PARK7,2.299260979
ERRFI1,0.296886922
RERE,0.428205257
ENO1,1.890230948
SLC2A5,0.429074681
SPSB1,0.136446402
SLC25A33,0.106758099
TMEM201,0.064142036
CLSTN1,0.565571207
CTNNBIP1,0.096248513
LZIC,0.505839017
NMNAT1,0.133562706
UBE4B,0.106757854
KIF1B,0.426265153
PGD,0.346958117
DFFA,0.103768996
PEX14,0.082891111
CASZ1,0.240090078
TARDBP,0.584684635
RP4-635E18.8,0.093689102
SRM,0.216158864
EXOSC10,0.296688629
RP4-635E18.6,0.077286408
MTOR,0.094895034
UBIAD1,0.042235437
FBXO6,0.012518462
MAD2L2,0.008282534
AGTRAP,0.057928609
MTHFR,0.155612155
CLCN6,0.095697443
NPPA-AS1,0.009340487
KIAA2013,0.814343142
MFN2,0.161131026
MIIP,0.1370158
TNFRSF1B,0.008282534
VPS13D,0.093467132
DHRS3,0.582589838
PRDM2,0.325842695
KAZN,0.045811039
TMEM51,0.124466225
EFHD2,1.801981315
CASP9,0.067133757
DNAJC16,0.14335751
AGMAT,0.128944505
DDI2,0.270251182
PLEKHM2,0.306931814
SLC25A34,0.190452705
TMEM82,0.181652362
FBLIM1,1.279400034
RP11-169K16.9,0.05583847
SPEN,0.430739108
EPHA2,0.139038726
FBXO42,0.026974536
SZRD1,0.443075293
NECAP2,0.204866185
RP4-798A10.2,0.016726436
NBPF1,0.102093923
CROCCP2,0.087116687
RP11-108M9.4,0.125920653
ATP13A2,0.423228164
SDHB,1.37191075
PADI2,0.553160951
RCC2,0.467436837
ARHGEF10L,0.214686249
ALDH4A1,0.053177912
UBR4,0.454437348
RP1-43E13.2,0.053177912
EMC1,0.122982718
MRTO4,0.183199062
AKR7A3,1.016915202
AKR7A2,0.754091979
PQLC2,0.062553218
CAPZB,2.222001727
MINOS1,2.876272409
NBL1,2.485036793
TMCO4,0.352881446
RNF186,0.41101519
OTUD3,0.244287012
PLA2G2A,5.871130946
UBXN10,0.032526672
CAMK2N1,5.622498568
MUL1,0.050253292
CDA,1.080110529
PINK1,0.524805871
DDOST,0.593140661
HP1BP3,0.760171409
EIF4G3,0.641506062
ECE1,1.041266274
RAP1GAP,0.225410677
USP48,0.339875087
HSPG2,0.780131525
CDC42,5.139918992
ZBTB40,0.067338362
C1QA,0.005987909
EPHB2,0.101537605
KDM1A,0.117217262
LUZP1,0.461887495
RP5-1057J7.6,0.143319898
HNRNPR,0.889154393
ZNF436,0.247423384
C1orf213,0.005565747
TCEA3,1.823361216
ASAP3,0.122745549
E2F2,0.241923243
ID3,3.775116329
RPL11,24.15144405
TCEB3,0.453386067
RP5-886K2.3,0.009563594
PITHD1,0.094210875
LYPLA2,0.990368661
GALE,0.852347678
HMGCL,0.332895615
FUCA1,1.574661452
PNRC2,0.09014397
SRSF10,0.287222174
IL22RA1,0.117736937
IFNLR1,0.005987909
STPG1,0.147388236
NIPAL3,0.515742614
RCAN3,0.216684174
RP4-594I10.3,0.029921486
SRRM1,1.664247043
CLIC4,0.408167721
RUNX3,0.019139489
SYF2,1.377359358
C1orf63,2.802943942
TMEM50A,1.520445661
TMEM57,0.093193171
LDLRAP1,0.084027415
SEPN1,0.066771854
MTFR1L,0.298854467
STMN1,0.863049282
PAFAH2,0.19270805
PDIK1L,0.149307215
ZNF593,0.999651308
CNKSR1,0.098073218
SH3BGRL3,10.57873884
