Motif	Domain	Interaction Domain Description	Interaction Domain Name
3DID_14-3-3_LIG_0-0	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_0-1	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_0-16	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_0-18	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_0-19	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_0-2	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_0-21	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_0-29	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_0-35	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_0-4	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_0-5	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_0-59	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_0-8	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_0-88	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_0-9	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_0-93	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_1-0	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_10-0	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_10-1	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_10-7	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_11-0	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_11-1	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_11-22	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_11-24	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_11-3	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_11-38	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_11-41	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_11-7	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_11-9	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_4-0	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_4-11	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_4-13	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_4-3	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_4-5	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_4-8	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_4-9	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_5-0	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_5-15	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_5-4	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_7-0	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_7-2	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_7-3	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_7-5	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_8-0	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_8-1	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_8-2	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_8-20	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_8-21	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_8-29	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_8-31	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_8-5	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_8-6	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_8-8	PF00244	14-3-3	14-3-3
3DID_14-3-3_LIG_8-9	PF00244	14-3-3	14-3-3
3DID_2-Hacid_dh_LIG_0-0	PF00389	2-Hacid_dh	2-Hacid_dh
3DID_2-Hacid_dh_LIG_0-17	PF00389	2-Hacid_dh	2-Hacid_dh
3DID_2-Hacid_dh_LIG_0-5	PF00389	2-Hacid_dh	2-Hacid_dh
3DID_2-Hacid_dh_LIG_0-6	PF00389	2-Hacid_dh	2-Hacid_dh
3DID_7tm_1_LIG_13-0	PF00001	7tm_1	7tm_1
3DID_7tm_1_LIG_13-1	PF00001	7tm_1	7tm_1
3DID_7tm_1_LIG_13-2	PF00001	7tm_1	7tm_1
3DID_7tm_1_LIG_16-0	PF00001	7tm_1	7tm_1
3DID_7tm_1_LIG_20-0	PF00001	7tm_1	7tm_1
3DID_7tm_1_LIG_20-1	PF00001	7tm_1	7tm_1
3DID_7tm_1_LIG_3-0	PF00001	7tm_1	7tm_1
3DID_7tm_1_LIG_7-0	PF00001	7tm_1	7tm_1
3DID_7tm_1_LIG_7-1	PF00001	7tm_1	7tm_1
3DID_7tm_1_LIG_9-0	PF00001	7tm_1	7tm_1
3DID_7tm_2_LIG_2-0	PF00002	7tm_2	7tm_2
3DID_7tm_2_LIG_6-0	PF00002	7tm_2	7tm_2
3DID_AAA_2_LIG_3-0	PF07724	AAA_2	AAA_2
3DID_AAA_LIG_0-0	PF00004	AAA	AAA
3DID_AAA_LIG_0-1	PF00004	AAA	AAA
3DID_AAA_LIG_0-9	PF00004	AAA	AAA
3DID_AAA_LIG_1-0	PF00004	AAA	AAA
3DID_AAA_LIG_1-1	PF00004	AAA	AAA
3DID_AAA_LIG_1-2	PF00004	AAA	AAA
3DID_AAA_LIG_1-3	PF00004	AAA	AAA
3DID_AAA_LIG_1-4	PF00004	AAA	AAA
3DID_AAA_LIG_1-7	PF00004	AAA	AAA
3DID_AAA_LIG_2-0	PF00004	AAA	AAA
3DID_AAA_LIG_2-1	PF00004	AAA	AAA
3DID_AAA_lid_3_LIG_2-0	PF17862	AAA_lid_3	AAA_lid_3
3DID_AAA_lid_3_LIG_2-1	PF17862	AAA_lid_3	AAA_lid_3
3DID_AAA_lid_3_LIG_2-2	PF17862	AAA_lid_3	AAA_lid_3
3DID_ABC_membrane_LIG_4-0	PF00664	ABC_membrane	ABC_membrane
3DID_ACR_tran_LIG_0-0	PF00873	ACR_tran	ACR_tran
3DID_ACR_tran_LIG_2-0	PF00873	ACR_tran	ACR_tran
3DID_AChE_tetra_LIG_0-0	PF08674	AChE_tetra	AChE_tetra
3DID_ANAPC10_LIG_0-0	PF03256	ANAPC10	ANAPC10
3DID_ANAPC10_LIG_0-1	PF03256	ANAPC10	ANAPC10
3DID_ANAPC3_LIG_0-0	PF12895	ANAPC3	ANAPC3
3DID_ASF1_hist_chap_LIG_0-0	PF04729	ASF1_hist_chap	ASF1_hist_chap
3DID_ASF1_hist_chap_LIG_4-0	PF04729	ASF1_hist_chap	ASF1_hist_chap
3DID_ASF1_hist_chap_LIG_7-0	PF04729	ASF1_hist_chap	ASF1_hist_chap
3DID_ASF1_hist_chap_LIG_7-1	PF04729	ASF1_hist_chap	ASF1_hist_chap
3DID_ATG11_LIG_0-0	PF10377	ATG11	ATG11
3DID_ATG11_LIG_0-1	PF10377	ATG11	ATG11
3DID_ATG11_LIG_0-3	PF10377	ATG11	ATG11
3DID_ATG5_UblA_LIG_0-0	PF20638	ATG5_UblA	ATG5_UblA
3DID_ATG5_UblA_LIG_1-3	PF20638	ATG5_UblA	ATG5_UblA
3DID_ATG5_UblA_LIG_2-0	PF20638	ATG5_UblA	ATG5_UblA
3DID_ATG5_UblB_LIG_0-0	PF04106	ATG5_UblB	ATG5_UblB
3DID_ATG8_LIG_2-0	PF02991	ATG8	ATG8
3DID_ATG8_LIG_2-11	PF02991	ATG8	ATG8
3DID_ATG8_LIG_2-2	PF02991	ATG8	ATG8
3DID_ATG8_LIG_6-0	PF02991	ATG8	ATG8
3DID_ATG8_LIG_6-10	PF02991	ATG8	ATG8
3DID_ATG8_LIG_6-17	PF02991	ATG8	ATG8
3DID_ATG8_LIG_6-2	PF02991	ATG8	ATG8
3DID_ATG8_LIG_6-22	PF02991	ATG8	ATG8
3DID_ATG8_LIG_6-23	PF02991	ATG8	ATG8
3DID_ATG8_LIG_6-8	PF02991	ATG8	ATG8
3DID_ATP-synt_E_LIG_0-0	PF05680	ATP-synt_E	ATP-synt_E
3DID_ATP-synt_E_LIG_0-2	PF05680	ATP-synt_E	ATP-synt_E
3DID_ATP-synt_E_LIG_0-3	PF05680	ATP-synt_E	ATP-synt_E
3DID_ATP-synt_F6_LIG_0-0	PF05511	ATP-synt_F6	ATP-synt_F6
3DID_ATP-synt_LIG_0-0	PF00231	ATP-synt	ATP-synt
3DID_ATP-synt_LIG_0-67	PF00231	ATP-synt	ATP-synt
3DID_ATP-synt_LIG_0-7	PF00231	ATP-synt	ATP-synt
3DID_ATP-synt_LIG_2-0	PF00231	ATP-synt	ATP-synt
3DID_ATP-synt_LIG_2-3	PF00231	ATP-synt	ATP-synt
3DID_ATP-synt_VA_C_LIG_4-0	PF22919	ATP-synt_VA_C	ATP-synt_VA_C
3DID_ATP-synt_VA_C_LIG_4-1	PF22919	ATP-synt_VA_C	ATP-synt_VA_C
3DID_ATP-synt_VA_C_LIG_4-2	PF22919	ATP-synt_VA_C	ATP-synt_VA_C
3DID_Acetyltransf_1_LIG_3-0	PF00583	Acetyltransf_1	Acetyltransf_1
3DID_Acetyltransf_1_LIG_3-3	PF00583	Acetyltransf_1	Acetyltransf_1
3DID_Acetyltransf_1_LIG_4-0	PF00583	Acetyltransf_1	Acetyltransf_1
3DID_Actin_LIG_1-0	PF00022	Actin	Actin
3DID_Actin_LIG_1-1	PF00022	Actin	Actin
3DID_Actin_LIG_26-0	PF00022	Actin	Actin
3DID_Actin_LIG_26-1	PF00022	Actin	Actin
3DID_Actin_LIG_27-0	PF00022	Actin	Actin
3DID_Actin_LIG_27-4	PF00022	Actin	Actin
3DID_Actin_LIG_27-7	PF00022	Actin	Actin
3DID_Actin_LIG_4-1	PF00022	Actin	Actin
3DID_Actin_LIG_4-15	PF00022	Actin	Actin
3DID_Actin_LIG_4-3	PF00022	Actin	Actin
3DID_Actin_LIG_4-4	PF00022	Actin	Actin
3DID_Actin_LIG_4-6	PF00022	Actin	Actin
3DID_Actin_LIG_4-7	PF00022	Actin	Actin
3DID_Actin_LIG_9-0	PF00022	Actin	Actin
3DID_Adap_comp_sub_LIG_0-0	PF00928	Adap_comp_sub	Adap_comp_sub
3DID_Adap_comp_sub_LIG_0-1	PF00928	Adap_comp_sub	Adap_comp_sub
3DID_Adap_comp_sub_LIG_4-0	PF00928	Adap_comp_sub	Adap_comp_sub
3DID_Adap_comp_sub_LIG_4-6	PF00928	Adap_comp_sub	Adap_comp_sub
3DID_Adap_comp_sub_LIG_4-7	PF00928	Adap_comp_sub	Adap_comp_sub
3DID_Adap_comp_sub_LIG_5-0	PF00928	Adap_comp_sub	Adap_comp_sub
3DID_Adap_comp_sub_LIG_5-1	PF00928	Adap_comp_sub	Adap_comp_sub
3DID_Adap_comp_sub_LIG_5-3	PF00928	Adap_comp_sub	Adap_comp_sub
3DID_Agenet_LIG_0-0	PF05641	Agenet	Agenet
3DID_Agenet_LIG_2-0	PF05641	Agenet	Agenet
3DID_Alfin_LIG_0-0	PF12165	Alfin	Alfin
3DID_Alfin_LIG_1-0	PF12165	Alfin	Alfin
3DID_Amino_oxidase_LIG_3-0	PF01593	Amino_oxidase	Amino_oxidase
3DID_Amino_oxidase_LIG_3-1	PF01593	Amino_oxidase	Amino_oxidase
3DID_Amino_oxidase_LIG_3-24	PF01593	Amino_oxidase	Amino_oxidase
3DID_Amino_oxidase_LIG_3-29	PF01593	Amino_oxidase	Amino_oxidase
3DID_Amino_oxidase_LIG_3-30	PF01593	Amino_oxidase	Amino_oxidase
3DID_Amino_oxidase_LIG_3-5	PF01593	Amino_oxidase	Amino_oxidase
3DID_Ank_2_LIG_0-0	PF12796	Ank_2	Ank_2
3DID_Ank_2_LIG_4-0	PF12796	Ank_2	Ank_2
3DID_Ank_2_LIG_4-1	PF12796	Ank_2	Ank_2
3DID_Ank_2_LIG_4-10	PF12796	Ank_2	Ank_2
3DID_Ank_2_LIG_4-13	PF12796	Ank_2	Ank_2
3DID_Ank_2_LIG_4-14	PF12796	Ank_2	Ank_2
3DID_Ank_2_LIG_4-15	PF12796	Ank_2	Ank_2
3DID_Ank_2_LIG_4-16	PF12796	Ank_2	Ank_2
3DID_Ank_2_LIG_4-17	PF12796	Ank_2	Ank_2
3DID_Ank_2_LIG_4-18	PF12796	Ank_2	Ank_2
3DID_Ank_2_LIG_4-19	PF12796	Ank_2	Ank_2
3DID_Ank_2_LIG_4-2	PF12796	Ank_2	Ank_2
3DID_Ank_2_LIG_4-3	PF12796	Ank_2	Ank_2
3DID_Ank_2_LIG_4-4	PF12796	Ank_2	Ank_2
3DID_Ank_2_LIG_4-8	PF12796	Ank_2	Ank_2
3DID_Ank_2_LIG_8-0	PF12796	Ank_2	Ank_2
3DID_Ank_2_LIG_8-1	PF12796	Ank_2	Ank_2
3DID_Ank_2_LIG_9-0	PF12796	Ank_2	Ank_2
3DID_Ank_2_LIG_9-1	PF12796	Ank_2	Ank_2
3DID_Ank_2_LIG_9-10	PF12796	Ank_2	Ank_2
3DID_Ank_2_LIG_9-13	PF12796	Ank_2	Ank_2
3DID_Ank_2_LIG_9-15	PF12796	Ank_2	Ank_2
