Target.node	Source.node	Relationship	layer
Q04721	Q8A5K0	stimulates>	bacteria-bindingprot
P08069	Q8A5K0	stimulates>	bacteria-bindingprot
Q8NFY4	Q8A2E4	stimulates>	bacteria-bindingprot
Q8NFY4	Q8A8L5	stimulates>	bacteria-bindingprot
Q8NFY4	Q8A7E9	stimulates>	bacteria-bindingprot
Q8NFY4	Q8A8G0	stimulates>	bacteria-bindingprot
P04626	Q8AB67	stimulates>	bacteria-bindingprot
P04626	Q8A0Y6	stimulates>	bacteria-bindingprot
P04626	Q8A1G4	stimulates>	bacteria-bindingprot
P04626	Q8A3C4	stimulates>	bacteria-bindingprot
P04626	Q8A3Z4	stimulates>	bacteria-bindingprot
P04626	Q8A507	stimulates>	bacteria-bindingprot
P04626	Q8A5V0	stimulates>	bacteria-bindingprot
P04626	Q8A673	stimulates>	bacteria-bindingprot
P04626	Q8A8D1	stimulates>	bacteria-bindingprot
P04626	Q8A9X3	stimulates>	bacteria-bindingprot
P78504	Q8A5K0	stimulates>	bacteria-bindingprot
O00548	Q8A5K0	stimulates>	bacteria-bindingprot
Q13873	Q8AB67	stimulates>	bacteria-bindingprot
Q13873	Q8A0Y6	stimulates>	bacteria-bindingprot
Q13873	Q8A1G4	stimulates>	bacteria-bindingprot
Q13873	Q8A3C4	stimulates>	bacteria-bindingprot
Q13873	Q8A3Z4	stimulates>	bacteria-bindingprot
Q13873	Q8A507	stimulates>	bacteria-bindingprot
Q13873	Q8A5V0	stimulates>	bacteria-bindingprot
Q13873	Q8A673	stimulates>	bacteria-bindingprot
Q13873	Q8A8D1	stimulates>	bacteria-bindingprot
Q13873	Q8A9X3	stimulates>	bacteria-bindingprot
P21860	Q8A677	stimulates>	bacteria-bindingprot
P16070	Q8A5K0	stimulates>	bacteria-bindingprot
Q01974	Q8A5K0	stimulates>	bacteria-bindingprot
Q9C0B5	Q8A5K0	stimulates>	bacteria-bindingprot
P46531	Q8AB67	stimulates>	bacteria-bindingprot
P46531	Q8A0Y6	stimulates>	bacteria-bindingprot
P46531	Q8A1G4	stimulates>	bacteria-bindingprot
P46531	Q8A3C4	stimulates>	bacteria-bindingprot
P46531	Q8A3Z4	stimulates>	bacteria-bindingprot
P46531	Q8A507	stimulates>	bacteria-bindingprot
P46531	Q8A5V0	stimulates>	bacteria-bindingprot
P46531	Q8A673	stimulates>	bacteria-bindingprot
P46531	Q8A8D1	stimulates>	bacteria-bindingprot
P46531	Q8A9X3	stimulates>	bacteria-bindingprot
Q14118	Q8A0Y2	stimulates>	bacteria-bindingprot
P00533	Q8A5K0	stimulates>	bacteria-bindingprot
P16144	Q8AB67	stimulates>	bacteria-bindingprot
P16144	Q8A0Y6	stimulates>	bacteria-bindingprot
P16144	Q8A1G4	stimulates>	bacteria-bindingprot
P16144	Q8A3C4	stimulates>	bacteria-bindingprot
P16144	Q8A3Z4	stimulates>	bacteria-bindingprot
P16144	Q8A507	stimulates>	bacteria-bindingprot
P16144	Q8A5V0	stimulates>	bacteria-bindingprot
P16144	Q8A673	stimulates>	bacteria-bindingprot
P16144	Q8A8D1	stimulates>	bacteria-bindingprot
P16144	Q8A9X3	stimulates>	bacteria-bindingprot
P11362	Q8A0H1	stimulates>	bacteria-bindingprot
P11362	Q8A2L2	stimulates>	bacteria-bindingprot
P11362	Q8A192	stimulates>	bacteria-bindingprot
P11362	Q8A2Y6	stimulates>	bacteria-bindingprot
P11362	Q8A9F0	stimulates>	bacteria-bindingprot
P11362	Q8AAM3	stimulates>	bacteria-bindingprot
P11362	Q89YL8	stimulates>	bacteria-bindingprot
P11362	Q89ZT1	stimulates>	bacteria-bindingprot
P11362	Q89ZX6	stimulates>	bacteria-bindingprot
P11362	Q8A0E7	stimulates>	bacteria-bindingprot
P11362	Q8A0I1	stimulates>	bacteria-bindingprot
P11362	Q8A0N3	stimulates>	bacteria-bindingprot
P11362	Q8A1K7	stimulates>	bacteria-bindingprot
P11362	Q8A515	stimulates>	bacteria-bindingprot
P11362	Q8A7A0	stimulates>	bacteria-bindingprot
P11362	Q8A8Y2	stimulates>	bacteria-bindingprot
P11362	Q8AAK4	stimulates>	bacteria-bindingprot
P11362	Q8AAK5	stimulates>	bacteria-bindingprot
P11362	Q8AB22	stimulates>	bacteria-bindingprot
O94856	Q8A5K0	stimulates>	bacteria-bindingprot
Q9H1C0	Q8A5K0	stimulates>	bacteria-bindingprot
P17181	Q8A5K0	stimulates>	bacteria-bindingprot
Q92859	Q8A5K0	stimulates>	bacteria-bindingprot
P04626	Q8A5K0	stimulates>	bacteria-bindingprot
P16070	Q8A2E4	stimulates>	bacteria-bindingprot
P16070	Q8A8L5	stimulates>	bacteria-bindingprot
P16070	Q8A7E9	stimulates>	bacteria-bindingprot
P16070	Q8A8G0	stimulates>	bacteria-bindingprot
O14672	Q8A0H1	stimulates>	bacteria-bindingprot
O14672	Q8A2L2	stimulates>	bacteria-bindingprot
O14672	Q8A192	stimulates>	bacteria-bindingprot
O14672	Q8A2Y6	stimulates>	bacteria-bindingprot
O14672	Q8A9F0	stimulates>	bacteria-bindingprot
O14672	Q8AAM3	stimulates>	bacteria-bindingprot
O14672	Q89YL8	stimulates>	bacteria-bindingprot
O14672	Q89ZT1	stimulates>	bacteria-bindingprot
O14672	Q89ZX6	stimulates>	bacteria-bindingprot
O14672	Q8A0E7	stimulates>	bacteria-bindingprot
O14672	Q8A0I1	stimulates>	bacteria-bindingprot
O14672	Q8A0N3	stimulates>	bacteria-bindingprot
O14672	Q8A1K7	stimulates>	bacteria-bindingprot
O14672	Q8A515	stimulates>	bacteria-bindingprot
O14672	Q8A7A0	stimulates>	bacteria-bindingprot
O14672	Q8A8Y2	stimulates>	bacteria-bindingprot
O14672	Q8AAK4	stimulates>	bacteria-bindingprot
O14672	Q8AAK5	stimulates>	bacteria-bindingprot
O14672	Q8AB22	stimulates>	bacteria-bindingprot
Q13444	Q8A5K0	stimulates>	bacteria-bindingprot
O43184	Q8AB67	stimulates>	bacteria-bindingprot
O43184	Q8A0Y6	stimulates>	bacteria-bindingprot
O43184	Q8A1G4	stimulates>	bacteria-bindingprot
O43184	Q8A3C4	stimulates>	bacteria-bindingprot
O43184	Q8A3Z4	stimulates>	bacteria-bindingprot
O43184	Q8A507	stimulates>	bacteria-bindingprot
O43184	Q8A5V0	stimulates>	bacteria-bindingprot
O43184	Q8A673	stimulates>	bacteria-bindingprot
